Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,total_muertes,total_muertes_21,dens_pobl,POBTOT,tasa_mortalidad,tasa_mortalidad_21,pobreza,lat_norm,lon_norm,alt_norm,dens_pobl_norm,mortalidad_norm,pobreza_norm,mortalidad_norm_21,membresias
19.689351,-100.555161,2050,16034,Hidalgo,40,249,109.98425,125712,31.81876,198.07178,66.3,0.60321,0.859045968,0.73741,0.00625,0.01241,0.68421,0.07864,8
17.962334,-102.197981,10,16052,Lázaro Cárdenas,368,391,170.43739,196003,187.75223,199.48674,31.1,0.5503,0.873080632,0.0036,0.00969,0.07325,0.32095,0.0792,13
19.703384,-101.192046,1904,16053,Morelia,996,1933,709.31746,849053,117.30716,227.66541,27.3,0.60364,0.864486897,0.68489,0.04031,0.04577,0.28173,0.09038,13
20.34145,-102.022554,1680,16069,La Piedad,151,302,373.64912,106490,141.79735,283.5947,35.7,0.62318,0.871581953,0.60432,0.02124,0.05532,0.36842,0.11259,4
19.795666,-101.176392,1865,16088,Tarímbaro,27,109,447.31641,114513,23.57811,95.1857,33.4,0.60646,0.864353164,0.67086,0.02542,0.0092,0.34469,0.03779,4
19.420888,-102.062799,1640,16102,Uruapan,357,595,352.20731,356786,100.05998,166.76663,42.1,0.59498,0.871925767,0.58993,0.02002,0.03904,0.43447,0.06621,7
19.983579,-102.285958,1565,16108,Zamora,142,441,611.52239,204860,69.31563,215.26896,44,0.61222,0.873832222,0.56295,0.03475,0.02704,0.45408,0.08546,7
19.43718,-100.357486,1944,16112,Zitácuaro,95,334,306.15205,157056,60.48798,212.663,58.6,0.59548,0.857357224,0.69928,0.0174,0.0236,0.60475,0.08443,15
18.812788,-98.955265,1295,17006,Cuautla,248,782,1929.05155,187118,132.53669,417.91811,51.2,0.57635,0.845378005,0.46583,0.10963,0.05171,0.52838,0.16592,12
18.921783,-99.234897,1523,17007,Cuernavaca,1480,2760,1892.38,378476,391.04197,729.24043,37.3,0.57969,0.84776691,0.54784,0.10755,0.15256,0.38493,0.28951,1
18.840984,-99.183243,1249,17008,Emiliano Zapata,410,539,1574.30882,107053,382.98787,503.48893,49.1,0.57722,0.847325628,0.44928,0.08947,0.14942,0.50671,0.19989,12
